Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,012052","-0,00050488","0,19209",0,0,0,150,"30,383","0,028587","0,26132","69,029","0,00034937","94,499",0,0,0,0,0,0,package://first_amr_rover/meshes/base_link.STL,"0,25098","0,25098","0,25098",1,0,0,0,0,0,0,package://first_amr_rover/meshes/base_link.STL,,main_amr_body-1,Koordinat Sistemi1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel_link,"-3,9517E-15","-0,595","-1,5266E-16",0,0,0,"30,589","0,1356","7,1855E-16","-1,9228E-31","0,23866","3,2793E-32","0,1356",0,0,0,0,0,0,package://first_amr_rover/meshes/left_wheel_link.STL,1,0,0,1,0,0,0,0,0,0,package://first_amr_rover/meshes/left_wheel_link.STL,,main_wheel-2,Koordinat Sistemi2,Eksen1,left_wheel_joint,continuous,0,"0,2355","0,13",0,0,0,base_link,0,1,0,300,10,,,,,"0,5","0,05",,,,
right_wheel_link,"-1,5023E-15","0,124","-1,5266E-16",0,0,0,"30,589","0,1356","5,6286E-18","-1,9228E-31","0,23866","-3,2449E-32","0,1356",0,0,0,0,0,0,package://first_amr_rover/meshes/right_wheel_link.STL,1,0,0,1,0,0,0,0,0,0,package://first_amr_rover/meshes/right_wheel_link.STL,,main_wheel-1,Koordinat Sistemi2,Eksen1,right_wheel_joint,continuous,0,"0,2355","0,13",0,0,0,base_link,0,1,0,300,10,,,,,"0,5","0,05",,,,
front_left_support_wheel_link,"-3,7748E-15","-0,53601","-3,5527E-15",0,0,0,"26,733","0,095433","2,6598E-16","-3,7979E-34","0,13477","1,5077E-34","0,095433",0,0,0,0,0,0,package://first_amr_rover/meshes/front_left_support_wheel_link.STL,1,0,0,1,0,0,0,0,0,0,package://first_amr_rover/meshes/front_left_support_wheel_link.STL,,two_support_wheel-3,Koordinat Sistemi3,Eksen3,front_left_support_wheel_joint,continuous,"0,60236","0,2355","0,10662",0,0,0,base_link,0,1,0,1,15,,,,,"0,1","0,01",,,,
back_left_support_wheel_link,"-3,6637E-15","-0,55321","2,4147E-15",0,0,0,"26,733","0,095433","2,7533E-16","-3,7979E-34","0,13477","1,5077E-34","0,095433",0,0,0,0,0,0,package://first_amr_rover/meshes/back_left_support_wheel_link.STL,1,0,0,1,0,0,0,0,0,0,package://first_amr_rover/meshes/back_left_support_wheel_link.STL,,two_support_wheel-4,Koordinat Sistemi4,Eksen2,back_left_support_wheel_joint,continuous,"-0,48261","0,2355","0,1066",0,0,0,base_link,0,1,0,1,15,,,,,"0,1","0,01",,,,
front_right_support_wheel_link,"-1,7764E-15","0,065","-3,525E-15",0,0,0,"26,733","0,095433","1,1792E-17","-3,7979E-34","0,13477","1,5077E-34","0,095433",0,0,0,0,0,0,package://first_amr_rover/meshes/front_right_support_wheel_link.STL,1,0,0,1,0,0,0,0,0,0,package://first_amr_rover/meshes/front_right_support_wheel_link.STL,,two_support_wheel-1,Koordinat Sistemi3,Eksen3,front_right_support_wheel_joint,continuous,"0,60236","0,2355","0,10662",0,0,0,base_link,0,1,0,1,15,,,,,"0,1","0,01",,,,
back_right_support_wheel_link,"-1,6098E-15","0,0822","2,4147E-15",0,0,0,"26,733","0,095433","2,4636E-18","-3,7979E-34","0,13477","1,5077E-34","0,095433",0,0,0,0,0,0,package://first_amr_rover/meshes/back_right_support_wheel_link.STL,1,0,0,1,0,0,0,0,0,0,package://first_amr_rover/meshes/back_right_support_wheel_link.STL,,two_support_wheel-2,Koordinat Sistemi4,Eksen2,back_right_support_wheel_joint,continuous,"-0,48261","0,2355","0,1066",0,0,0,base_link,0,1,0,1,15,,,,,"0,1","0,01",,,,
lift_surface_link,"-0,01558","-2,3302E-09","0,070184",0,0,0,"14,131","0,94413","2,9059E-07","0,0006529","2,3879","-1,1896E-11","3,3269",0,0,0,0,0,0,package://first_amr_rover/meshes/lift_surface_link.STL,0,0,0,1,0,0,0,0,0,0,package://first_amr_rover/meshes/lift_surface_link.STL,,lift_surface-1,Koordinat Sistemi5,Eksen4,lift_surface_joint,prismatic,0,0,"0,2966",0,0,0,base_link,0,0,1,1000,"0,5",0,"0,5",,,"0,5","0,01",,,,
front_camera_link,"0,84204","-0,0064789","0,1955",0,0,0,"0,095826","2,4216E-05","6,1828E-22","9,3716E-23","5,6583E-06","2,3187E-21","2,0155E-05",0,0,0,0,0,0,package://first_amr_rover/meshes/front_camera_link.STL,1,0,0,1,0,0,0,0,0,0,package://first_amr_rover/meshes/front_camera_link.STL,,camera-1,Koordinat Sistemi1,Axis_front_camera_joint,front_camera_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
back_camera_link,"-0,84204","-0,0064789","0,1955",0,0,0,"0,095826","2,4216E-05","6,1828E-22","9,3716E-23","5,6583E-06","2,3187E-21","2,0155E-05",0,0,0,0,0,0,package://first_amr_rover/meshes/back_camera_link.STL,1,0,0,1,0,0,0,0,0,0,package://first_amr_rover/meshes/back_camera_link.STL,,camera-2,Koordinat Sistemi1,Axis_back_camera_joint,back_camera_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
